lengthKm,xOverL,uxPISM
5,0.000000,10.39409711
5,0.010000,10.37192463
5,0.020000,10.34323083
5,0.030000,10.31453703
5,0.040000,10.28584323
5,0.050000,10.25714944
5,0.060000,10.22271688
5,0.070000,10.18567579
5,0.080000,10.14550447
5,0.090000,10.11263703
5,0.100000,10.07455253
5,0.110000,10.03255525
5,0.120000,9.99890525
5,0.130000,9.97021145
5,0.140000,9.94151765
5,0.150000,9.91282385
5,0.160000,9.88256494
5,0.170000,9.85543625
5,0.180000,9.82674246
5,0.190000,9.82674246
5,0.200000,9.79804866
5,0.210000,9.79804866
5,0.220000,9.77144168
5,0.230000,9.76935486
5,0.240000,9.76935486
5,0.250000,9.76935486
5,0.260000,9.76935486
5,0.270000,9.76935486
5,0.280000,9.76935486
5,0.290000,9.76935486
5,0.300000,9.78370176
5,0.310000,9.79804866
5,0.320000,9.79804866
5,0.330000,9.82674246
5,0.340000,9.83665486
5,0.350000,9.85543625
5,0.360000,9.88413005
5,0.370000,9.91282385
5,0.380000,9.94151765
5,0.390000,9.97021145
5,0.400000,10.01455641
5,0.410000,10.05629284
5,0.420000,10.08498664
5,0.430000,10.11368044
5,0.440000,10.17106804
5,0.450000,10.19976184
5,0.460000,10.22845564
5,0.470000,10.26080137
5,0.480000,10.29784246
5,0.490000,10.31453703
5,0.500000,10.34323083
5,0.510000,10.38027192
5,0.520000,10.40061843
5,0.530000,10.42931223
5,0.540000,10.45800603
5,0.550000,10.47104866
5,0.560000,10.48669982
5,0.570000,10.51539362
5,0.580000,10.51539362
5,0.590000,10.52974052
5,0.600000,10.52974052
5,0.610000,10.54408742
5,0.620000,10.54408742
5,0.630000,10.54408742
5,0.640000,10.57278122
5,0.650000,10.57278122
5,0.660000,10.57278122
5,0.670000,10.57278122
5,0.680000,10.57278122
5,0.690000,10.57278122
5,0.700000,10.57278122
5,0.710000,10.58712812
5,0.720000,10.58712812
5,0.730000,10.58712812
5,0.740000,10.58712812
5,0.750000,10.58712812
5,0.760000,10.58712812
5,0.770000,10.58712812
5,0.780000,10.58712812
5,0.790000,10.57278122
5,0.800000,10.57278122
5,0.810000,10.57278122
5,0.820000,10.57278122
5,0.830000,10.57278122
5,0.840000,10.57278122
5,0.850000,10.57278122
5,0.860000,10.57278122
5,0.870000,10.55843432
5,0.880000,10.55843432
5,0.890000,10.55843432
5,0.900000,10.55843432
5,0.910000,10.54408742
5,0.920000,10.54408742
5,0.930000,10.51539362
5,0.940000,10.51539362
5,0.950000,10.48669982
5,0.960000,10.48669982
5,0.970000,10.45800603
5,0.980000,10.43035564
5,0.990000,10.42200835
5,1.000000,10.43713781
10,0.000000,19.94034865
10,0.010000,19.62855910
10,0.020000,19.11903635
10,0.030000,18.66654178
10,0.040000,18.15621957
10,0.050000,17.59260000
10,0.060000,17.01245826
10,0.070000,16.42005812
10,0.080000,15.86096883
10,0.090000,15.25764273
10,0.100000,14.67057233
10,0.110000,14.04139701
10,0.120000,13.51668452
10,0.130000,13.00423041
10,0.140000,12.49604010
10,0.150000,12.01503144
10,0.160000,11.59025149
10,0.170000,11.23475811
10,0.180000,10.90751233
10,0.190000,10.61171199
10,0.200000,10.43476476
10,0.210000,10.25195482
10,0.220000,10.13789848
10,0.230000,10.05635352
10,0.240000,9.99772642
10,0.250000,9.99772642
10,0.260000,9.99772642
10,0.270000,10.02757294
10,0.280000,10.05635352
10,0.290000,10.13203577
10,0.300000,10.25755105
10,0.310000,10.44595721
10,0.320000,10.66767422
10,0.330000,10.93949075
10,0.340000,11.25740949
10,0.350000,11.61263638
10,0.360000,12.02675686
10,0.370000,12.51922445
10,0.380000,13.00849420
