lengthKm,xOverL,uxFSMean
5,0.000000,16.45031667
5,0.010000,16.45296640
5,0.020000,16.45583976
5,0.030000,16.45898427
5,0.040000,16.46235664
5,0.050000,16.46589909
5,0.060000,16.46959247
5,0.070000,16.47337179
5,0.080000,16.47717984
5,0.090000,16.48098061
5,0.100000,16.48474402
5,0.110000,16.48833741
5,0.120000,16.49182437
5,0.130000,16.49511911
5,0.140000,16.49814285
5,0.150000,16.50093779
5,0.160000,16.50343812
5,0.170000,16.50562246
5,0.180000,16.50757826
5,0.190000,16.50914841
5,0.200000,16.51048871
5,0.210000,16.51151983
5,0.220000,16.51228300
5,0.230000,16.51281103
5,0.240000,16.51309073
5,0.250000,16.51316267
5,0.260000,16.51304139
5,0.270000,16.51271156
5,0.280000,16.51218675
5,0.290000,16.51136501
5,0.300000,16.51029522
5,0.310000,16.50895754
5,0.320000,16.50729918
5,0.330000,16.50538627
5,0.340000,16.50315551
5,0.350000,16.50062006
5,0.360000,16.49785159
5,0.370000,16.49474316
5,0.380000,16.49146937
5,0.390000,16.48798770
5,0.400000,16.48433795
5,0.410000,16.48059067
5,0.420000,16.47676501
5,0.430000,16.47293698
5,0.440000,16.46915107
5,0.450000,16.46545799
5,0.460000,16.46186621
5,0.470000,16.45850316
5,0.480000,16.45533337
5,0.490000,16.45242317
5,0.500000,16.44984582
5,0.510000,16.44752281
5,0.520000,16.44557370
5,0.530000,16.44395536
5,0.540000,16.44262166
5,0.550000,16.44167252
5,0.560000,16.44097506
5,0.570000,16.44054597
5,0.580000,16.44031783
5,0.590000,16.44024861
5,0.600000,16.44038794
5,0.610000,16.44068695
5,0.620000,16.44117176
5,0.630000,16.44184674
5,0.640000,16.44261803
5,0.650000,16.44352021
5,0.660000,16.44443725
5,0.670000,16.44536811
5,0.680000,16.44622510
5,0.690000,16.44702253
5,0.700000,16.44770013
5,0.710000,16.44827177
5,0.720000,16.44871718
5,0.730000,16.44901275
5,0.740000,16.44919878
5,0.750000,16.44926116
5,0.760000,16.44922900
5,0.770000,16.44910539
5,0.780000,16.44881904
5,0.790000,16.44842605
5,0.800000,16.44790263
5,0.810000,16.44724253
5,0.820000,16.44650486
5,0.830000,16.44566206
5,0.840000,16.44477484
5,0.850000,16.44387722
5,0.860000,16.44302252
5,0.870000,16.44224661
5,0.880000,16.44161677
5,0.890000,16.44114491
5,0.900000,16.44084006
5,0.910000,16.44076453
5,0.920000,16.44082773
5,0.930000,16.44108351
5,0.940000,16.44151938
5,0.950000,16.44218553
5,0.960000,16.44320490
5,0.970000,16.44448120
5,0.980000,16.44610915
5,0.990000,16.44808964
5,1.000000,16.45031651
10,0.000000,16.86033676
10,0.010000,16.84022123
10,0.020000,16.82003068
10,0.030000,16.79987060
10,0.040000,16.77975708
10,0.050000,16.75980535
10,0.060000,16.74011966
10,0.070000,16.72081548
10,0.080000,16.70193875
10,0.090000,16.68376494
10,0.100000,16.66616241
10,0.110000,16.64957955
10,0.120000,16.63381888
10,0.130000,16.61912158
10,0.140000,16.60566377
10,0.150000,16.59336489
10,0.160000,16.58236697
10,0.170000,16.57275931
10,0.180000,16.56428251
10,0.190000,16.55745186
10,0.200000,16.55171346
10,0.210000,16.54727361
10,0.220000,16.54401970
10,0.230000,16.54173146
10,0.240000,16.54045337
10,0.250000,16.53996942
10,0.260000,16.54034089
10,0.270000,16.54151069
10,0.280000,16.54360079
10,0.290000,16.54680831
10,0.300000,16.55110620
10,0.310000,16.55662717
10,0.320000,16.56353995
10,0.330000,16.57166055
10,0.340000,16.58122295
10,0.350000,16.59212625
10,0.360000,16.60415816
10,0.370000,16.61768142
10,0.380000,16.63217251
10,0.390000,16.64779954
10,0.400000,16.66441442
10,0.410000,16.68178552
10,0.420000,16.70000329
10,0.430000,16.71878373
10,0.440000,16.73803610
10,0.450000,16.75769723
10,0.460000,16.77764378
10,0.470000,16.79771631
10,0.480000,16.81793204
10,0.490000,16.83809843
10,0.500000,16.85825071
10,0.510000,16.87826083
10,0.520000,16.89813912
10,0.530000,16.91778071
10,0.540000,16.93724512
10,0.550000,16.95639415
10,0.560000,16.97529657
10,0.570000,16.99380567
10,0.580000,17.01195742
10,0.590000,17.02965528
10,0.600000,17.04679871
10,0.610000,17.06335378
10,0.620000,17.07919461
10,0.630000,17.09418373
10,0.640000,17.10838536
10,0.650000,17.12135915
10,0.660000,17.13334887
10,0.670000,17.14407945
10,0.680000,17.15345855
10,0.690000,17.16163269
10,0.700000,17.16829327
10,0.710000,17.17360170
10,0.720000,17.17770206
10,0.730000,17.18033190
10,0.740000,17.18190554
10,0.750000,17.18241524
10,0.760000,17.18196066
10,0.770000,17.18054820
10,0.780000,17.17780463
10,0.790000,17.17392631
10,0.800000,17.16870147
10,0.810000,17.16200251
10,0.820000,17.15416972
10,0.830000,17.14469397
10,0.840000,17.13412240
10,0.850000,17.12229464
10,0.860000,17.10929030
10,0.870000,17.09532093
10,0.880000,17.08038961
10,0.890000,17.06462658
10,0.900000,17.04821908
10,0.910000,17.03111323
10,0.920000,17.01352853
10,0.930000,16.99546438
10,0.940000,16.97700633
10,0.950000,16.95821660
10,0.960000,16.93910135
10,0.970000,16.91972630
10,0.980000,16.90012336
10,0.990000,16.88029218
10,1.000000,16.86033768
20,0.000000,18.54117002
20,0.010000,18.31113080
20,0.020000,18.08123831
20,0.030000,17.85420953
20,0.040000,17.63057152
20,0.050000,17.41225697
20,0.060000,17.20153066
20,0.070000,16.99901486
20,0.080000,16.80476499
20,0.090000,16.62324262
20,0.100000,16.45008838
20,0.110000,16.29194068
20,0.120000,16.14434692
20,0.130000,16.00965169
20,0.140000,15.88913424
20,0.150000,15.78059807
20,0.160000,15.68513915
20,0.170000,15.60340829
20,0.180000,15.53125811
20,0.190000,15.47492627
20,0.200000,15.42728268
20,0.210000,15.39178140
20,0.220000,15.36638541
20,0.230000,15.34934431
20,0.240000,15.34104795
20,0.250000,15.33845422
20,0.260000,15.34088501
20,0.270000,15.34965938
20,0.280000,15.36491126
20,0.290000,15.39133752
20,0.300000,15.42637327
20,0.310000,15.47242978
20,0.320000,15.53087989
20,0.330000,15.60022087
20,0.340000,15.68246778
20,0.350000,15.77799249
20,0.360000,15.88392490
20,0.370000,16.00661807
20,0.380000,16.13916838
20,0.390000,16.28632955
20,0.400000,16.44536492
20,0.410000,16.61549571
20,0.420000,16.79875470
20,0.430000,16.99175892
20,0.440000,17.19353195
20,0.450000,17.40495536
20,0.460000,17.62188851
20,0.470000,17.84553413
20,0.480000,18.07274468
20,0.490000,18.30194387
20,0.500000,18.53204437
20,0.510000,18.76077767
20,0.520000,18.98641306
20,0.530000,19.20697717
20,0.540000,19.42269543
20,0.550000,19.62813514
20,0.560000,19.82713543
20,0.570000,20.01389353
20,0.580000,20.19085512
20,0.590000,20.35683515
20,0.600000,20.50898508
20,0.610000,20.64967508
20,0.620000,20.77884804
20,0.630000,20.89391243
20,0.640000,20.99976615
20,0.650000,21.09052624
20,0.660000,21.17179911
20,0.670000,21.24144646
20,0.680000,21.29986664
20,0.690000,21.34878544
20,0.700000,21.38733889
20,0.710000,21.41674303
20,0.720000,21.43897792
20,0.730000,21.45252488
20,0.740000,21.46054088
20,0.750000,21.46290995
20,0.760000,21.46063467
20,0.770000,21.45326233
20,0.780000,21.43889442
20,0.790000,21.41775240
20,0.800000,21.38855781
20,0.810000,21.34941566
20,0.820000,21.30285452
20,0.830000,21.24292340
20,0.840000,21.17462198
20,0.850000,21.09417077
20,0.860000,21.00220604
20,0.870000,20.89926459
20,0.880000,20.78312469
20,0.890000,20.65478107
20,0.900000,20.51585685
20,0.910000,20.36171336
20,0.920000,20.19855832
20,0.930000,20.02137797
20,0.940000,19.83427689
20,0.950000,19.63762323
20,0.960000,19.43027580
20,0.970000,19.21609972
20,0.980000,18.99543768
20,0.990000,18.76956288
20,1.000000,18.54118693
40,0.000000,21.54600917
40,0.010000,20.54555820
40,0.020000,19.59484768
40,0.030000,18.72198341
40,0.040000,17.91701694
40,0.050000,17.17423647
40,0.060000,16.50441739
40,0.070000,15.89542890
40,0.080000,15.33809512
40,0.090000,14.84936673
40,0.100000,14.39943646
40,0.110000,14.01059157
40,0.120000,13.66089151
40,0.130000,13.35316654
40,0.140000,13.08895344
40,0.150000,12.85751826
40,0.160000,12.65974580
40,0.170000,12.49490741
40,0.180000,12.35157900
40,0.190000,12.24174691
40,0.200000,12.14943672
40,0.210000,12.08033288
40,0.220000,12.03030471
40,0.230000,11.99599234
40,0.240000,11.97903761
40,0.250000,11.97385722
40,0.260000,11.97888188
40,0.270000,11.99718190
40,0.280000,12.02825131
40,0.290000,12.08035281
40,0.300000,12.14880141
40,0.310000,12.23845584
40,0.320000,12.35307264
40,0.330000,12.49058205
40,0.340000,12.65747026
40,0.350000,12.85581647
40,0.360000,13.08091780
40,0.370000,13.35265952
40,0.380000,13.65373867
40,0.390000,14.00375330
40,0.400000,14.39654201
40,0.410000,14.83444178
40,0.420000,15.33360084
40,0.430000,15.88458401
40,0.440000,16.49063560
40,0.450000,17.16905859
40,0.460000,17.89661240
40,0.470000,18.71022565
40,0.480000,19.58003909
40,0.490000,20.52256927
40,0.500000,21.53780313
40,0.510000,22.61597504
40,0.520000,23.76053270
40,0.530000,24.96640776
40,0.540000,26.21316521
40,0.550000,27.51058643
40,0.560000,28.82925784
40,0.570000,30.15845384
40,0.580000,31.48459775
40,0.590000,32.78612117
40,0.600000,34.03633062
40,0.610000,35.22530202
40,0.620000,36.33634888
40,0.630000,37.33455748
40,0.640000,38.25229074
40,0.650000,39.01745585
40,0.660000,39.68910972
40,0.670000,40.23820214
40,0.680000,40.67409342
40,0.690000,41.01864194
40,0.700000,41.27180646
40,0.710000,41.44956425
40,0.720000,41.57791896
40,0.730000,41.64714964
40,0.740000,41.68713559
40,0.750000,41.69758217
40,0.760000,41.68719309
40,0.770000,41.65099406
40,0.780000,41.57503868
40,0.790000,41.45474449
40,0.800000,41.27672215
40,0.810000,41.01730308
40,0.820000,40.69439203
40,0.830000,40.23993731
40,0.840000,39.70238122
40,0.850000,39.03896824
40,0.860000,38.25531274
40,0.870000,37.36506704
40,0.880000,36.35447780
40,0.890000,35.24577235
40,0.900000,34.06674238
40,0.910000,32.80596380
40,0.920000,31.51046347
