lengthKm,xOverL,uxPISM
5,0.000000,16.27851570
5,0.010000,16.27851570
5,0.020000,16.27851570
5,0.030000,16.27851570
5,0.040000,16.27851570
5,0.050000,16.27851570
5,0.060000,16.27851570
5,0.070000,16.27851570
5,0.080000,16.27851570
5,0.090000,16.27851570
5,0.100000,16.27851570
5,0.110000,16.27851570
5,0.120000,16.27851570
5,0.130000,16.27851570
5,0.140000,16.27851570
5,0.150000,16.27851570
5,0.160000,16.27851570
5,0.170000,16.27851570
5,0.180000,16.27851570
5,0.190000,16.27851570
5,0.200000,16.27851570
5,0.210000,16.27851570
5,0.220000,16.27851570
5,0.230000,16.27851570
5,0.240000,16.27851570
5,0.250000,16.27851570
5,0.260000,16.27851570
5,0.270000,16.27851570
5,0.280000,16.27851570
5,0.290000,16.27851570
5,0.300000,16.27851570
5,0.310000,16.27851570
5,0.320000,16.27851570
5,0.330000,16.27851570
5,0.340000,16.27851570
5,0.350000,16.27851570
5,0.360000,16.27851570
5,0.370000,16.27851570
5,0.380000,16.27851570
5,0.390000,16.27851570
5,0.400000,16.27851570
5,0.410000,16.27851570
5,0.420000,16.27851570
5,0.430000,16.27851570
5,0.440000,16.27851570
5,0.450000,16.27851570
5,0.460000,16.27851570
5,0.470000,16.27851570
5,0.480000,16.27851570
5,0.490000,16.27851570
5,0.500000,16.27851570
5,0.510000,16.27851570
5,0.520000,16.27851570
5,0.530000,16.27851570
5,0.540000,16.27851570
5,0.550000,16.27851570
5,0.560000,16.27851570
5,0.570000,16.27851570
5,0.580000,16.27851570
5,0.590000,16.27851570
5,0.600000,16.27851570
5,0.610000,16.27851570
5,0.620000,16.27851570
5,0.630000,16.27851570
5,0.640000,16.27851570
5,0.650000,16.27851570
5,0.660000,16.27851570
5,0.670000,16.27851570
5,0.680000,16.27851570
5,0.690000,16.27851570
5,0.700000,16.27851570
5,0.710000,16.27851570
5,0.720000,16.27851570
5,0.730000,16.27851570
5,0.740000,16.27851570
5,0.750000,16.27851570
5,0.760000,16.27851570
5,0.770000,16.27851570
5,0.780000,16.27851570
5,0.790000,16.27851570
5,0.800000,16.27851570
5,0.810000,16.27851570
5,0.820000,16.27851570
5,0.830000,16.27851570
5,0.840000,16.27851570
5,0.850000,16.27851570
5,0.860000,16.27851570
5,0.870000,16.27851570
5,0.880000,16.27851570
5,0.890000,16.27851570
5,0.900000,16.27851570
5,0.910000,16.27851570
5,0.920000,16.27851570
5,0.930000,16.27851570
5,0.940000,16.27851570
5,0.950000,16.27851570
5,0.960000,16.27851570
5,0.970000,16.27851570
5,0.980000,16.27851570
5,0.990000,16.27851570
5,1.000000,16.27851570
10,0.000000,16.64811912
10,0.010000,16.62068966
10,0.020000,16.60344828
10,0.030000,16.58620690
10,0.040000,16.55971787
10,0.050000,16.55172414
10,0.060000,16.51724138
10,0.070000,16.51724138
10,0.080000,16.48275862
10,0.090000,16.48275862
10,0.100000,16.44827586
10,0.110000,16.44827586
10,0.120000,16.43463950
10,0.130000,16.41379310
10,0.140000,16.41379310
10,0.150000,16.41379310
10,0.160000,16.39796238
10,0.170000,16.37931034
10,0.180000,16.37931034
10,0.190000,16.37931034
10,0.200000,16.37931034
10,0.210000,16.37931034
10,0.220000,16.37931034
10,0.230000,16.37931034
10,0.240000,16.37931034
10,0.250000,16.37931034
10,0.260000,16.37931034
10,0.270000,16.37931034
10,0.280000,16.37931034
10,0.290000,16.37931034
10,0.300000,16.37931034
10,0.310000,16.37931034
10,0.320000,16.37931034
10,0.330000,16.37931034
10,0.340000,16.39655172
10,0.350000,16.41379310
10,0.360000,16.41379310
10,0.370000,16.42821317
10,0.380000,16.44827586
10,0.390000,16.44827586
10,0.400000,16.47727273
10,0.410000,16.48275862
10,0.420000,16.50000000
10,0.430000,16.51724138
10,0.440000,16.53119122
10,0.450000,16.55172414
10,0.460000,16.57539185
10,0.470000,16.58620690
10,0.480000,16.61959248
10,0.490000,16.62445141
10,0.500000,16.64655172
10,0.510000,16.65517241
10,0.520000,16.67241379
10,0.530000,16.68965517
10,0.540000,16.70689655
10,0.550000,16.72257053
10,0.560000,16.72742947
10,0.570000,16.74137931
10,0.580000,16.74137931
10,0.590000,16.75862069
10,0.600000,16.75862069
10,0.610000,16.77586207
10,0.620000,16.77586207
10,0.630000,16.77586207
10,0.640000,16.77586207
10,0.650000,16.77586207
10,0.660000,16.79310345
10,0.670000,16.79310345
10,0.680000,16.79310345
10,0.690000,16.79310345
10,0.700000,16.79310345
10,0.710000,16.79310345
10,0.720000,16.79310345
10,0.730000,16.79310345
10,0.740000,16.79310345
10,0.750000,16.79310345
10,0.760000,16.79310345
10,0.770000,16.79310345
10,0.780000,16.79310345
10,0.790000,16.79310345
10,0.800000,16.79310345
10,0.810000,16.79310345
10,0.820000,16.79310345
10,0.830000,16.79310345
10,0.840000,16.79169279
10,0.850000,16.77586207
10,0.860000,16.77586207
10,0.870000,16.77586207
10,0.880000,16.77586207
10,0.890000,16.76739812
10,0.900000,16.75862069
10,0.910000,16.75862069
10,0.920000,16.74137931
10,0.930000,16.74137931
10,0.940000,16.72413793
10,0.950000,16.70689655
10,0.960000,16.70689655
10,0.970000,16.68965517
10,0.980000,16.67241379
10,0.990000,16.65517241
10,1.000000,16.65517241
20,0.000000,18.23006976
20,0.010000,18.00953595
20,0.020000,17.78900215
20,0.030000,17.56846835
20,0.040000,17.34793455
20,0.050000,17.12740075
20,0.060000,16.94046628
20,0.070000,16.75353182
20,0.080000,16.55529575
20,0.090000,16.37966288
20,0.100000,16.22632774
20,0.110000,16.09009772
20,0.120000,15.97983082
20,0.130000,15.83840818
20,0.140000,15.75929702
20,0.150000,15.64903012
20,0.160000,15.57236255
20,0.170000,15.50241485
20,0.180000,15.46881552
20,0.190000,15.43521619
20,0.200000,15.40008961
20,0.210000,15.36801752
20,0.220000,15.36801752
20,0.230000,15.33441819
20,0.240000,15.33441819
20,0.250000,15.33441819
20,0.260000,15.33441819
20,0.270000,15.33441819
20,0.280000,15.36801752
20,0.290000,15.36801752
20,0.300000,15.40161685
20,0.310000,15.43521619
20,0.320000,15.48317160
20,0.330000,15.52623983
20,0.340000,15.60290740
20,0.350000,15.67957497
20,0.360000,15.77120951
20,0.370000,15.89461070
20,0.380000,16.01037567
20,0.390000,16.13408230
20,0.400000,16.28741744
20,0.410000,16.44075257
20,0.420000,16.61943993
20,0.430000,16.81462151
20,0.440000,16.97437106
20,0.450000,17.18849045
20,0.460000,17.40902425
20,0.470000,17.62955805
20,0.480000,17.85009185
20,0.490000,18.07062565
20,0.500000,18.32475878
20,0.510000,18.54529258
20,0.520000,18.76582639
20,0.530000,18.95276085
20,0.540000,19.17329465
20,0.550000,19.39382846
20,0.560000,19.60794784
20,0.570000,19.76769739
20,0.580000,19.92927964
20,0.590000,20.07314587
20,0.600000,20.19410347
20,0.610000,20.30711940
20,0.620000,20.43357507
20,0.630000,20.50871540
20,0.640000,20.57591406
20,0.650000,20.64311273
20,0.660000,20.67701751
20,0.670000,20.71031139
20,0.680000,20.74391073
20,0.690000,20.77751006
20,0.700000,20.77751006
20,0.710000,20.77751006
20,0.720000,20.77751006
20,0.730000,20.77751006
20,0.740000,20.77751006
20,0.750000,20.77751006
20,0.760000,20.77751006
20,0.770000,20.77751006
20,0.780000,20.77751006
20,0.790000,20.77751006
20,0.800000,20.77751006
20,0.810000,20.76956840
20,0.820000,20.72650016
20,0.830000,20.71031139
20,0.840000,20.67396302
20,0.850000,20.63089479
20,0.860000,20.57591406
20,0.870000,20.50871540
20,0.880000,20.40089209
20,0.890000,20.29062519
20,0.900000,20.18035828
20,0.910000,20.03649205
20,0.920000,19.89262582
20,0.930000,19.71516025
20,0.940000,19.54105462
20,0.950000,19.32052082
20,0.960000,19.16718568
20,0.970000,18.94665188
20,0.980000,18.72611808
20,0.990000,18.47198495
20,1.000000,18.39195745
40,0.000000,20.81894204
40,0.010000,20.24525343
40,0.020000,19.34735603
40,0.030000,18.39082512
40,0.040000,17.62169150
40,0.050000,16.97327391
40,0.060000,16.27312088
40,0.070000,15.66149295
40,0.080000,15.14988688
40,0.090000,14.60723954
40,0.100000,14.25428883
40,0.110000,13.83810591
40,0.120000,13.54493839
40,0.130000,13.25866892
40,0.140000,13.00229104
40,0.150000,12.79419959
40,0.160000,12.64934034
40,0.170000,12.46654176
40,0.180000,12.35962184
40,0.190000,12.34007734
40,0.200000,12.21361292
40,0.210000,12.17797294
40,0.220000,12.15038071
40,0.230000,12.08714850
40,0.240000,12.08714850
40,0.250000,12.08714850
40,0.260000,12.08714850
40,0.270000,12.08714850
40,0.280000,12.15038071
