lengthKm,xOverL,uxFSMean
5,0.000000,11.10136571
5,0.010000,11.15369507
5,0.020000,11.20516635
5,0.030000,11.25546785
5,0.040000,11.30405561
5,0.050000,11.35062116
5,0.060000,11.39536536
5,0.070000,11.43765405
5,0.080000,11.47792415
5,0.090000,11.51544181
5,0.100000,11.55061514
5,0.110000,11.58327961
5,0.120000,11.61226462
5,0.130000,11.63951215
5,0.140000,11.66350951
5,0.150000,11.68491404
5,0.160000,11.70373992
5,0.170000,11.71904644
5,0.180000,11.73267567
5,0.190000,11.74265556
5,0.200000,11.75067993
5,0.210000,11.75637762
5,0.220000,11.75942800
5,0.230000,11.76101700
5,0.240000,11.76043406
5,0.250000,11.75868803
5,0.260000,11.75596675
5,0.270000,11.75180134
5,0.280000,11.74657760
5,0.290000,11.73869347
5,0.300000,11.72937004
5,0.310000,11.71752760
5,0.320000,11.70308651
5,0.330000,11.68685228
5,0.340000,11.66713764
5,0.350000,11.64533547
5,0.360000,11.62112896
5,0.370000,11.59381000
5,0.380000,11.56468915
5,0.390000,11.53205384
5,0.400000,11.49784519
5,0.410000,11.46073646
5,0.420000,11.42153921
5,0.430000,11.38030983
5,0.440000,11.33714482
5,0.450000,11.29218251
5,0.460000,11.24568283
5,0.470000,11.19756908
5,0.480000,11.14853014
5,0.490000,11.09809603
5,0.500000,11.04706324
5,0.510000,10.99498076
5,0.520000,10.94288866
5,0.530000,10.89097736
5,0.540000,10.83959249
5,0.550000,10.78883491
5,0.560000,10.73933151
5,0.570000,10.69090327
5,0.580000,10.64420533
5,0.590000,10.59902639
5,0.600000,10.55589464
5,0.610000,10.51536224
5,0.620000,10.47660782
5,0.630000,10.44170528
5,0.640000,10.40908044
5,0.650000,10.38023941
5,0.660000,10.35438735
5,0.670000,10.33129227
5,0.680000,10.31257727
5,0.690000,10.29634041
5,0.700000,10.28361628
5,0.710000,10.27430079
5,0.720000,10.26699879
5,0.730000,10.26322220
5,0.740000,10.26105932
5,0.750000,10.26154498
5,0.760000,10.26421345
5,0.770000,10.26869275
5,0.780000,10.27552529
5,0.790000,10.28428805
5,0.800000,10.29631056
5,0.810000,10.31125859
5,0.820000,10.32851092
5,0.830000,10.35029977
5,0.840000,10.37390482
5,0.850000,10.40149229
5,0.860000,10.43169480
5,0.870000,10.46473841
5,0.880000,10.50101335
5,0.890000,10.53944459
5,0.900000,10.58137219
5,0.910000,10.62574593
5,0.920000,10.67204977
5,0.930000,10.72085326
5,0.940000,10.77101830
5,0.950000,10.82290352
5,0.960000,10.87578491
5,0.970000,10.92982681
5,0.980000,10.98485037
5,0.990000,11.04255030
5,1.000000,11.10061278
10,0.000000,21.10201787
10,0.010000,20.80067940
10,0.020000,20.47624119
10,0.030000,20.11764217
10,0.040000,19.72511568
10,0.050000,19.29754149
10,0.060000,18.84278752
10,0.070000,18.35199734
10,0.080000,17.84184042
10,0.090000,17.31259078
10,0.100000,16.76897111
10,0.110000,16.22265173
10,0.120000,15.67618967
10,0.130000,15.14122570
10,0.140000,14.62088072
10,0.150000,14.12677601
10,0.160000,13.66072837
10,0.170000,13.24658271
10,0.180000,12.86329589
10,0.190000,12.55910196
10,0.200000,12.30084379
10,0.210000,12.10335496
10,0.220000,11.97296014
10,0.230000,11.88412999
10,0.240000,11.84655409
10,0.250000,11.83249753
10,0.260000,11.83729162
10,0.270000,11.87462181
10,0.280000,11.93896818
10,0.290000,12.08336527
10,0.300000,12.27047749
10,0.310000,12.52222908
10,0.320000,12.84090845
10,0.330000,13.20242245
10,0.340000,13.62714767
10,0.350000,14.08610481
10,0.360000,14.58210739
10,0.370000,15.10722209
10,0.380000,15.64868369
10,0.390000,16.20034181
10,0.400000,16.75677645
10,0.410000,17.30148129
10,0.420000,17.83420628
10,0.430000,18.34863491
10,0.440000,18.83649496
10,0.450000,19.30028873
10,0.460000,19.73156575
10,0.470000,20.13148574
10,0.480000,20.49844474
10,0.490000,20.83039433
10,0.500000,21.13081255
10,0.510000,21.39117092
10,0.520000,21.62159024
10,0.530000,21.82277148
10,0.540000,21.99555855
10,0.550000,22.14462424
10,0.560000,22.26654332
10,0.570000,22.37163591
10,0.580000,22.45364037
10,0.590000,22.52171666
10,0.600000,22.57455419
10,0.610000,22.61572866
10,0.620000,22.64873713
10,0.630000,22.67523765
10,0.640000,22.69664940
10,0.650000,22.71455240
10,0.660000,22.72821886
10,0.670000,22.74005472
10,0.680000,22.74851297
10,0.690000,22.75547305
10,0.700000,22.76118960
10,0.710000,22.76666642
10,0.720000,22.77040477
10,0.730000,22.77351741
10,0.740000,22.77526526
10,0.750000,22.77543721
10,0.760000,22.77379353
10,0.770000,22.77095783
10,0.780000,22.76783286
10,0.790000,22.76325933
10,0.800000,22.75824597
10,0.810000,22.75193348
10,0.820000,22.74387544
10,0.830000,22.73269444
10,0.840000,22.71981173
10,0.850000,22.70356933
10,0.860000,22.68495401
10,0.870000,22.66194629
10,0.880000,22.63496385
10,0.890000,22.60108143
10,0.900000,22.55724363
10,0.910000,22.50175722
10,0.920000,22.43512404
10,0.930000,22.34899167
10,0.940000,22.25099076
10,0.950000,22.12631429
10,0.960000,21.98290391
10,0.970000,21.80760518
10,0.980000,21.60475865
10,0.990000,21.36700727
10,1.000000,21.10856169
20,0.000000,31.70655022
20,0.010000,30.02071187
20,0.020000,28.30075413
20,0.030000,26.55107638
20,0.040000,24.77592252
20,0.050000,23.00061155
20,0.060000,21.22812840
20,0.070000,19.49688203
20,0.080000,17.79376289
20,0.090000,16.17223593
20,0.100000,14.60984701
20,0.110000,13.14843912
20,0.120000,11.80574750
20,0.130000,10.56348995
20,0.140000,9.45601411
20,0.150000,8.47680230
20,0.160000,7.60400980
20,0.170000,6.89225175
20,0.180000,6.25695356
20,0.190000,5.77788431
20,0.200000,5.38171379
20,0.210000,5.08594456
20,0.220000,4.89468062
20,0.230000,4.75978651
20,0.240000,4.70762461
20,0.250000,4.69349267
20,0.260000,4.70852796
20,0.270000,4.77249873
20,0.280000,4.87452490
20,0.290000,5.07862084
20,0.300000,5.34365341
20,0.310000,5.71480656
20,0.320000,6.20426031
20,0.330000,6.78100678
20,0.340000,7.51818524
20,0.350000,8.35505742
20,0.360000,9.31940647
20,0.370000,10.42182513
20,0.380000,11.62031542
20,0.390000,12.95850537
20,0.400000,14.38720845
20,0.410000,15.91687390
20,0.420000,17.53952848
20,0.430000,19.21308421
20,0.440000,20.94711665
20,0.450000,22.70430262
20,0.460000,24.47639012
20,0.470000,26.23908556
20,0.480000,27.98513168
20,0.490000,29.68963852
20,0.500000,31.35323236
20,0.510000,32.94161065
20,0.520000,34.46489539
20,0.530000,35.89941708
20,0.540000,37.24747337
20,0.550000,38.50364125
20,0.560000,39.64340567
20,0.570000,40.69999593
20,0.580000,41.64404496
20,0.590000,42.50513233
20,0.600000,43.26397524
20,0.610000,43.92636825
20,0.620000,44.51784048
20,0.630000,45.00717123
20,0.640000,45.43445681
20,0.650000,45.78406605
20,0.660000,46.06701456
20,0.670000,46.30453432
20,0.680000,46.47931729
20,0.690000,46.62063287
20,0.700000,46.72364989
20,0.710000,46.79491993
20,0.720000,46.84822094
20,0.730000,46.87609566
20,0.740000,46.89372276
20,0.750000,46.90251474
20,0.760000,46.90327785
20,0.770000,46.89543391
20,0.780000,46.87618221
20,0.790000,46.84335715
20,0.800000,46.78333739
20,0.810000,46.69446574
20,0.820000,46.57733197
20,0.830000,46.40286229
20,0.840000,46.19734397
20,0.850000,45.92150368
20,0.860000,45.59424668
20,0.870000,45.19917278
20,0.880000,44.72259568
20,0.890000,44.17691538
20,0.900000,43.52925695
20,0.910000,42.79003423
20,0.920000,41.96838276
20,0.930000,41.02667592
20,0.940000,40.01330754
20,0.950000,38.87568225
20,0.960000,37.65586198
20,0.970000,36.32716125
20,0.980000,34.90644251
20,0.990000,33.34894382
20,1.000000,31.72881432
40,0.000000,32.49963110
40,0.010000,29.61876019
40,0.020000,26.78211314
40,0.030000,24.07352387
40,0.040000,21.48427518
40,0.050000,19.08911060
40,0.060000,16.82777298
40,0.070000,14.80863795
40,0.080000,12.91788372
40,0.090000,11.25969459
40,0.100000,9.75411618
40,0.110000,8.43147177
40,0.120000,7.30090629
40,0.130000,6.30419005
40,0.140000,5.46600463
40,0.150000,4.76087263
40,0.160000,4.15299174
40,0.170000,3.68170259
40,0.180000,3.26849373
40,0.190000,2.96592462
40,0.200000,2.71899744
40,0.210000,2.53509086
40,0.220000,2.41547499
40,0.230000,2.32929487
40,0.240000,2.29268210
40,0.250000,2.28127965
40,0.260000,2.29232250
40,0.270000,2.33607403
40,0.280000,2.40470079
40,0.290000,2.53490938
40,0.300000,2.70380960
40,0.310000,2.93924702
40,0.320000,3.25349361
40,0.330000,3.62833424
40,0.340000,4.12579827
40,0.350000,4.70430944
40,0.360000,5.40370579
40,0.370000,6.24501483
40,0.380000,7.20036325
40,0.390000,8.34721945
40,0.400000,9.63073390
40,0.410000,11.10377371
40,0.420000,12.77639828
40,0.430000,14.60567542
40,0.440000,16.65499548
40,0.450000,18.85289158
40,0.460000,21.25635483
40,0.470000,23.80763792
40,0.480000,26.50721387
40,0.490000,29.32656771
40,0.500000,32.24744713
40,0.510000,35.24306939
40,0.520000,38.28502076
40,0.530000,41.32907843
40,0.540000,44.36348851
40,0.550000,47.34442158
40,0.560000,50.23860137
40,0.570000,53.03863576
40,0.580000,55.68757449
40,0.590000,58.20420266
40,0.600000,60.53603557
40,0.610000,62.66530743
40,0.620000,64.63393028
40,0.630000,66.34886748
40,0.640000,67.90179948
40,0.650000,69.22479389
40,0.660000,70.34455368
40,0.670000,71.30872030
40,0.680000,72.03935588
40,0.690000,72.63966794
40,0.700000,73.07955145
40,0.710000,73.37519367
40,0.720000,73.59233205
40,0.730000,73.68909676
40,0.740000,73.74856097
40,0.750000,73.76940211
40,0.760000,73.76700603
40,0.770000,73.73774688
40,0.780000,73.63652577
40,0.790000,73.47428546
40,0.800000,73.18490824
40,0.810000,72.77106916
40,0.820000,72.23883545
40,0.830000,71.48816187
40,0.840000,70.62041553
40,0.850000,69.51244615
40,0.860000,68.23281458
40,0.870000,66.75354124
40,0.880000,65.04209780
40,0.890000,63.15958760
40,0.900000,61.04138914
40,0.910000,58.73339354
40,0.920000,56.27107601
40,0.930000,53.61947615
40,0.940000,50.86324788
40,0.950000,47.97180239
40,0.960000,45.00170545
40,0.970000,41.97941661
40,0.980000,38.90644860
40,0.990000,35.72692817
40,1.000000,32.54746846
80,0.000000,28.41518285
80,0.010000,25.37625413
80,0.020000,22.43055641
80,0.030000,19.72361462
80,0.040000,17.22993924
80,0.050000,15.00106399
80,0.060000,13.01935599
